term,PCA dim
forum,-0.6729
för,-0.6730
tenderar,-0.6731
goda,-0.6735
verkligt,-0.6761
hellre,-0.6781
tidigare,-0.6799
viktiga,-0.6799
börja,-0.6806
viktig,-0.6833
25,-0.6855
huvudsak,-0.6864
erkänt,-0.6870
själva,-0.6881
dominerande,-0.6883
tacksamt,-0.6883
våra,-0.6907
närmar,-0.6912
ser,-0.6934
förhållandevis,-0.6952
förhoppningsvis,-0.6956
ju,-0.6961
följa,-0.6981
tämligen,-0.6984
givetvis,-0.6993
får,-0.6995
göra,-0.7040
personliga,-0.7045
visserligen,-0.7056
slutligen,-0.7058
inte,-0.7065
ont,-0.7074
synes,-0.7079
milt,-0.7080
därefter,-0.7083
varför,-0.7086
velat,-0.7093
rätta,-0.7096
ha,-0.7110
slipper,-0.7113
antal,-0.7130
normala,-0.7132
65,-0.7135
regel,-0.7145
primärt,-0.7157
gick,-0.7158
billigare,-0.7159
likaväl,-0.7162
egna,-0.7172
tacksam,-0.7178
15,-0.7178
varit,-0.7182
tillägga,-0.7190
dessa,-0.7191
såväl,-0.7198
finna,-0.7212
dessvärre,-0.7218
noterat,-0.7237
dock,-0.7262
ge,-0.7267
bättre,-0.7270
ange,-0.7271
stället,-0.7284
öppna,-0.7289
nämnde,-0.7297
närvarande,-0.7317
modernare,-0.7319
läste,-0.7324
då,-0.7340
sent,-0.7344
det,-0.7351
lämnar,-0.7383
genuint,-0.7395
ni,-0.7395
genom,-0.7397
dags,-0.7411
valde,-0.7421
omfattar,-0.7424
erbjuds,-0.7444
luft,-0.7448
ville,-0.7469
visst,-0.7470
början,-0.7481
välja,-0.7484
säkerligen,-0.7486
någorlunda,-0.7488
nämligen,-0.7489
ta,-0.7492
fullständigt,-0.7504
den,-0.7508
något,-0.7519
centralt,-0.7519
40,-0.7527
under,-0.7536
nog,-0.7543
god,-0.7560
just,-0.7582
20,-0.7594
korrekt,-0.7605
60,-0.7634
fått,-0.7636
intressanta,-0.7646
praktisk,-0.7655
fri,-0.7657
sagt,-0.7660
låta,-0.7673
12,-0.7674
se,-0.7677
beroende,-0.7682
ber,-0.7690
stod,-0.7693
exempelvis,-0.7708
lovar,-0.7710
notera,-0.7712
30,-0.7713
alls,-0.7726
be,-0.7732
trist,-0.7760
faktiskt,-0.7760
sida,-0.7762
nyskapande,-0.7764
utanför,-0.7774
140,-0.7777
någon,-0.7785
vår,-0.7785
inkluderat,-0.7792
återspeglar,-0.7806
till,-0.7824
liknande,-0.7829
behöver,-0.7834
delar,-0.7837
intressant,-0.7838
bland,-0.7844
självklart,-0.7867
närmast,-0.7876
har,-0.7884
sägs,-0.7895
mindre,-0.7914
nyligen,-0.7919
fick,-0.7933
tillbaka,-0.7952
tar,-0.7972
egen,-0.7974
3,-0.7987
50,-0.7989
kvinna,-0.7995
främst,-0.8008
möjligtvis,-0.8012
i,-0.8012
verkar,-0.8014
mera,-0.8031
halva,-0.8035
annanstans,-0.8042
vet,-0.8059
hyggligt,-0.8076
vissa,-0.8084
ut,-0.8084
förvirrad,-0.8085
konstigt,-0.8099
man,-0.8135
väl,-0.8136
hade,-0.8144
kommer,-0.8153
häromdagen,-0.8153
haft,-0.8158
2,-0.8172
mer,-0.8175
olämpligt,-0.8190
annat,-0.8192
förblir,-0.8199
av,-0.8201
satt,-0.8218
gps,-0.8219
påminna,-0.8223
90,-0.8240
inkludera,-0.8249
allt,-0.8252
senare,-0.8255
utöver,-0.8257
förr,-0.8274
tolv,-0.8280
nämna,-0.8290
tillåtet,-0.8313
knappt,-0.8315
ej,-0.8360
vid,-0.8361
höra,-0.8373
undrade,-0.8373
kvar,-0.8386
skapat,-0.8388
1996,-0.8391
därav,-0.8394
annars,-0.8395
jag,-0.8400
dålig,-0.8402
fanns,-0.8424
